Category ID,Category Name,Category Slug,Parent Category,Description
cat_computadoras_y_periféricos_accesorios_de_computadoras_bases_de_enfriamiento,Bases de Enfriamiento,bases-de-enfriamiento,Accesorios de Computadoras,Productos de Bases de Enfriamiento
cat_computadoras_y_periféricos_accesorios_de_computadoras_cámaras_web,Cámaras Web,cámaras-web,Accesorios de Computadoras,Productos de Cámaras Web
cat_computadoras_y_periféricos_accesorios_de_computadoras_fundas_y_maletines,Fundas y Maletines,fundas-y-maletines,Accesorios de Computadoras,Productos de Fundas y Maletines
cat_computadoras_y_periféricos_accesorios_de_computadoras_micrófonos_y_auriculares,Micrófonos y Auriculares,micrófonos-y-auriculares,Accesorios de Computadoras,Productos de Micrófonos y Auriculares
cat_computadoras_y_periféricos_accesorios_de_computadoras_teclados_y_ratones,Teclados y Ratones,teclados-y-ratones,Accesorios de Computadoras,Productos de Teclados y Ratones
cat_fotografía_instantánea_y_digital_profesional,Fotografía Instantánea y Digital Profesional,fotografía-instantánea-y-digital-profesional,,Productos de Fotografía Instantánea y Digital Profesional
cat_fotografía_instantánea_y_digital_profesional_cámaras_fotográficas,Cámaras Fotográficas,cámaras-fotográficas,Fotografía Instantánea y Digital Profesional,Productos de Cámaras Fotográficas
cat_fotografía_instantánea_y_digital_profesional_cámaras_fotográficas_cámaras_digitales_profesionales,Cámaras Digitales Profesionales,cámaras-digitales-profesionales,Cámaras Fotográficas,Productos de Cámaras Digitales Profesionales
cat_fotografía_instantánea_y_digital_profesional_cámaras_fotográficas_cámaras_instantáneas,Cámaras Instantáneas,cámaras-instantáneas,Cámaras Fotográficas,Productos de Cámaras Instantáneas
cat_gaming,Gaming,gaming,,Productos de Gaming
cat_gaming_consolas_y_juegos,Consolas y Juegos,consolas-y-juegos,Gaming,Productos de Consolas y Juegos
cat_gaming_consolas_y_juegos_juegos_físicos,Juegos Físicos,juegos-físicos,Consolas y Juegos,Productos de Juegos Físicos
cat_gaming_consolas_y_juegos_nintendo_switch,Nintendo Switch,nintendo-switch,Consolas y Juegos,Productos de Nintendo Switch
cat_gaming_consolas_y_juegos_playstation,PlayStation,playstation,Consolas y Juegos,Productos de PlayStation
cat_gaming_consolas_y_juegos_xbox,Xbox,xbox,Consolas y Juegos,Productos de Xbox
cat_gaming_componentes_gaming_rgb,Componentes Gaming RGB,componentes-gaming-rgb,Gaming,Productos de Componentes Gaming RGB
cat_gaming_componentes_gaming_rgb_fuentes_de_alimentación_rgb,Fuentes de Alimentación RGB,fuentes-de-alimentación-rgb,Componentes Gaming RGB,Productos de Fuentes de Alimentación RGB
cat_gaming_componentes_gaming_rgb_gabinetes_con_iluminación_rgb,Gabinetes con Iluminación RGB,gabinetes-con-iluminación-rgb,Componentes Gaming RGB,Productos de Gabinetes con Iluminación RGB
cat_gaming_componentes_gaming_rgb_sistemas_de_refrigeración_con_rgb,Sistemas de Refrigeración con RGB,sistemas-de-refrigeración-con-rgb,Componentes Gaming RGB,Productos de Sistemas de Refrigeración con RGB
cat_gaming_periféricos_gaming,Periféricos Gaming,periféricos-gaming,Gaming,Productos de Periféricos Gaming
cat_gaming_periféricos_gaming_auriculares_con_iluminación,Auriculares con Iluminación,auriculares-con-iluminación,Periféricos Gaming,Productos de Auriculares con Iluminación
cat_gaming_periféricos_gaming_mouse_pad_gaming,Mouse Pad Gaming,mouse-pad-gaming,Periféricos Gaming,Productos de Mouse Pad Gaming
cat_gaming_periféricos_gaming_ratones_gaming,Ratones Gaming,ratones-gaming,Periféricos Gaming,Productos de Ratones Gaming
cat_gaming_periféricos_gaming_sillas_gaming_y_mesas_especializadas,Sillas Gaming y Mesas Especializadas,sillas-gaming-y-mesas-especializadas,Periféricos Gaming,Productos de Sillas Gaming y Mesas Especializadas
cat_gaming_periféricos_gaming_teclados_gaming,Teclados Gaming,teclados-gaming,Periféricos Gaming,Productos de Teclados Gaming
